gvkey,combine,call_title,firm_full_name,firm_name,ticker,call_type,date_EST,time_EST,time_raw,call_participants,call_participants_titles
30463,0,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020","The Greenbrier Companies, Inc. NYSE:GBX","The Greenbrier Companies, Inc.",NYSE:GBX,FQ2 2020 Earnings Call Transcripts,4/7/20,4/7/20 10:00,"Tuesday, April 07, 2020 3:00 PM GMT","{'EXECUTIVES': ['Adrian J. Downes', 'Justin M. Roberts', 'Lorie L. Tekorius', 'William A. Furman'], 'ANALYSTS': ['Allison Poliniak-Cusic', 'Bascome Majors', 'Justin Trennon Long', 'Kenneth Scott Hoexter', 'Matthew Youssef Elkott', 'Robert Stephen Barger']}","{'Adrian J. Downes': 'Senior VP, CFO & Chief Accounting Officer', 'Justin M. Roberts': 'VP of Corporate Finance & Treasurer', 'Lorie L. Tekorius': 'President & COO', 'William A. Furman': 'Chairman & CEO', 'Allison Poliniak-Cusic': 'Wells Fargo Securities, LLC, Research Division', 'Bascome Majors': 'Susquehanna Financial Group, LLLP, Research Division', 'Justin Trennon Long': 'Stephens Inc., Research Division', 'Kenneth Scott Hoexter': 'BofA Merrill Lynch, Research Division', 'Matthew Youssef Elkott': 'Research Division', 'Robert Stephen Barger': 'KeyBanc Capital Markets Inc., Research Division'}"
32316,0,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020","Jaguar Health, Inc. NasdaqCM:JAGX","Jaguar Health, Inc.",NasdaqCM:JAGX,FQ4 2019 Earnings Call Transcripts,4/6/20,4/6/20 7:30,"Monday, April 06, 2020 12:30 PM GMT","{'EXECUTIVES': ['Carol R. Lizak', 'Ian Wendt', 'Lisa A. Conte', 'Pravin R. Chaturvedi', 'Steven R. King']}","{'Carol R. Lizak': 'Senior VP of Finance & Chief Accounting Officer', 'Ian Wendt': 'Vice President Commercial Strategy', 'Lisa A. Conte': 'Founder, CEO, President & Director', 'Pravin R. Chaturvedi': 'Chair of Scientific Advisory Board & Acting Chief Scientific Officer', 'Steven R. King': 'Chief Sustainable Supply, Ethnobotanical Research & Intellectual Property and Secretary'}"
162233,0,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020","Digital Ally, Inc. NasdaqCM:DGLY","Digital Ally, Inc.",NasdaqCM:DGLY,FQ4 2019 Earnings Call Transcripts,4/6/20,4/6/20 10:15,"Monday, April 06, 2020 3:15 PM GMT","{'EXECUTIVES': ['Stanton E. Ross', 'Thomas J. Heckman'], 'ANALYSTS': ['Allan Lyons;Vestal Venture Capital;Managing Partner', 'Brian David Kinstlinger', 'Bryan Preston Lubitz']}","{'Stanton E. Ross': 'Chairman, President & CEO', 'Thomas J. Heckman': 'CFO, VP, Treasurer & Secretary', 'Allan Lyons;Vestal Venture Capital;Managing Partner': '', 'Brian David Kinstlinger': 'Alliance Global Partners, Research Division', 'Bryan Preston Lubitz': 'Aegis Capital Corporation, Research Division'}"
105394,0,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020","PaySign, Inc. NasdaqCM:PAYS","PaySign, Inc.",NasdaqCM:PAYS,FY 2019 Earnings Call Transcripts,4/6/20,4/6/20 11:00,"Monday, April 06, 2020 4:00 PM GMT","{'EXECUTIVES': ['Mark Kenneth Attinger', 'Mark R. Newcomer'], 'ANALYSTS': ['Austin William Moldow', 'Jon Robert Hickman', 'Peter James Heckmann']}","{'Mark Kenneth Attinger': 'Chief Financial Officer', 'Mark R. Newcomer': 'Co-Founder, Vice-Chairman, President & CEO', 'Austin William Moldow': 'Canaccord Genuity Corp., Research Division', 'Jon Robert Hickman': 'Ladenburg Thalmann & Co. Inc., Research Division', 'Peter James Heckmann': 'D.A. Davidson & Co., Research Division'}"
27576,0,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",The Simply Good Foods Company NasdaqCM:SMPL,The Simply Good Foods Company,NasdaqCM:SMPL,FQ2 2020 Earnings Call Transcripts,4/6/20,4/6/20 7:30,"Monday, April 06, 2020 12:30 PM GMT","{'EXECUTIVES': ['Joseph E. Scalzo', 'Mark Pogharian', 'Todd E. Cunfer'], 'ANALYSTS': ['Alexia Jane Burland Howard', 'Christopher Robert Growe', 'Faiza Alwy', 'Jason M. English', 'John Joseph Baumgartner', 'Robert Frederick Dickerson']}","{'Joseph E. Scalzo': 'CEO, President & Director', 'Mark Pogharian': 'Vice President of Investor Relations, Treasury & Business Development', 'Todd E. Cunfer': 'Chief Financial Officer', 'Alexia Jane Burland Howard': 'Sanford C. Bernstein & Co., LLC., Research Division', 'Christopher Robert Growe': 'Stifel, Nicolaus & Company, Incorporated, Research Division', 'Faiza Alwy': 'Deutsche Bank AG, Research Division', 'Jason M. English': 'Goldman Sachs Group Inc., Research Division', 'John Joseph Baumgartner': 'Wells Fargo Securities, LLC, Research Division', 'Robert Frederick Dickerson': 'Jefferies LLC, Research Division'}"
63938,0,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020","SeaChange International, Inc. NasdaqGS:SEAC","SeaChange International, Inc.",NasdaqGS:SEAC,FQ4 2020 Earnings Call Transcripts,4/6/20,4/6/20 16:00,"Monday, April 06, 2020 9:00 PM GMT","{'EXECUTIVES': ['Chad A. Hassler', 'Michael D. Prinn', 'Yosef Aloni'], 'ANALYSTS': ['George Marema', 'Jaeson Allen Min Schmidt', 'Steven Bruce Frankel']}","{'Chad A. Hassler': 'Chief Commercial Officer', 'Michael D. Prinn': 'CFO, Senior VP & Treasurer', 'Yosef Aloni': 'CEO, President & Director', 'George Marema': '', 'Jaeson Allen Min Schmidt': 'Lake Street Capital Markets, LLC, Research Division', 'Steven Bruce Frankel': 'Dougherty & Company LLC, Research Division'}"
34132,0,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Bank7 Corp. NasdaqGS:BSVN,Bank7 Corp.,NasdaqGS:BSVN,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 14:00,"Thursday, April 30, 2020 7:00 PM GMT","{'EXECUTIVES': ['Jason E. Estes', 'John T. Phillips', 'Kelly J. Harris', 'Thomas L. Travis', 'William Bradford Haines'], 'ANALYSTS': ['Brady Matthew Gailey', 'Matthew Covington Olney', 'Nathan James Race', 'Timothy Abbott']}","{'Jason E. Estes': 'Executive VP & Chief Credit Officer', 'John T. Phillips': 'Vice Chairman, Senior Executive VP, Secretary & COO', 'Kelly J. Harris': 'Senior VP & CFO', 'Thomas L. Travis': 'President, CEO & Director', 'William Bradford Haines': 'Executive Chairman of the Board', 'Brady Matthew Gailey': 'Keefe, Bruyette, & Woods, Inc., Research Division', 'Matthew Covington Olney': 'Stephens Inc., Research Division', 'Nathan James Race': 'Piper Sandler & Co., Research Division', 'Timothy Abbott': ''}"
34443,0,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Dow Inc. NYSE:DOW,Dow Inc.,NYSE:DOW,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 7:00,"Thursday, April 30, 2020 12:00 PM GMT","{'EXECUTIVES': ['Colleen Kay', 'Howard I. Ungerleider', 'James R. Fitterling'], 'ANALYSTS': ['Arun Shankar Viswanathan', 'Christopher S. Parkinson', 'Frank Joseph Mitsch', 'Hassan Ijaz Ahmed', 'Jeffrey John Zekauskas', 'John Ezekiel E. Roberts', 'John Patrick McNulty', 'Jonas I. Oxgaard']}","{'Colleen Kay': 'Vice President of Investor Relations', 'Howard I. Ungerleider': 'President & CFO', 'James R. Fitterling': 'CEO & Chairman', 'Arun Shankar Viswanathan': 'RBC Capital Markets, Research Division', 'Christopher S. Parkinson': 'Cr̩dit Suisse AG, Research Division', 'Frank Joseph Mitsch': 'Fermium Research, LLC', 'Hassan Ijaz Ahmed': 'Alembic Global Advisors', 'Jeffrey John Zekauskas': 'JP Morgan Chase & Co, Research Division', 'John Ezekiel E. Roberts': 'UBS Investment Bank, Research Division', 'John Patrick McNulty': 'BMO Capital Markets Equity Research', 'Jonas I. Oxgaard': 'Sanford C. Bernstein & Co., LLC., Research Division'}"
3761,0,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Data I/O Corporation NasdaqCM:DAIO,Data I/O Corporation,NasdaqCM:DAIO,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 16:00,"Thursday, April 30, 2020 9:00 PM GMT","{'EXECUTIVES': ['Anthony Ambrose', 'Joel S. Hatlen'], 'ANALYSTS': ['Avram Fisher', 'George Melas-Kyriazi', 'Jaeson Allen Min Schmidt', 'Mark B. Spiegel', 'Unknown Analyst', 'SHAREHOLDERS', 'Unknown Shareholder'], 'ATTENDEES': ['Jordan M. Darrow']}","{'Anthony Ambrose': 'President, CEO & Director', 'Joel S. Hatlen': 'Chief Operating & Financial Officer, VP of Operations & Finance, Treasurer and Secretary', 'Avram Fisher': '', 'George Melas-Kyriazi': 'MKH Management Company, LLC', 'Jaeson Allen Min Schmidt': 'Lake Street Capital Markets, LLC, Research Division', 'Mark B. Spiegel': 'Stanphyl Capital Management', 'Unknown Analyst': '', 'SHAREHOLDERS': '', 'Unknown Shareholder': '', 'Jordan M. Darrow': 'Darrow Associates Inc.'}"
22039,0,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020","Syneos Health, Inc. NasdaqGS:SYNH","Syneos Health, Inc.",NasdaqGS:SYNH,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 7:00,"Thursday, April 30, 2020 12:00 PM GMT","{'EXECUTIVES': ['Alistair Macdonald', 'Jason M. Meggs', 'Michelle Keefe', 'Erin Elizabeth Wilson Wright', 'Paul D. Colvin', 'Jack Rogoff', 'Ronnie Speight'], 'ANALYSTS': ['Alexander Yearley Draper', 'John Charles Kreger', 'Patrick Bernard Donnelly', 'Daniel Gregory Brennan', 'Stephen C. Baxter', 'David Howard Windley', 'Tycho W. Peterson', 'Donald Houghton Hooker', 'Elizabeth Hammell Anderson', 'Eric White Coldwell']}","{'Alistair Macdonald': 'CEO & Director', 'Jason M. Meggs': 'Chief Financial Officer', 'Michelle Keefe': 'President of Commercial Solutions', 'Erin Elizabeth Wilson Wright': 'Cr̩dit Suisse AG, Research Division', 'Paul D. Colvin': 'President of Clinical Solutions', 'Jack Rogoff': 'Goldman Sachs Group Inc., Research Division', 'Ronnie Speight': 'Senior Vice President of Investor Relations', 'Alexander Yearley Draper': 'SunTrust Robinson Humphrey, Inc., Research Division', 'John Charles Kreger': 'William Blair & Company L.L.C., Research Division', 'Patrick Bernard Donnelly': 'Citigroup Inc, Research Division', 'Daniel Gregory Brennan': 'UBS Investment Bank, Research Division', 'Stephen C. Baxter': 'Wolfe Research, LLC', 'David Howard Windley': 'Jefferies LLC, Research Division', 'Tycho W. Peterson': 'JP Morgan Chase & Co, Research Division', 'Donald Houghton Hooker': 'KeyBanc Capital Markets Inc., Research Division', 'Elizabeth Hammell Anderson': 'Evercore ISI Institutional Equities, Research Division', 'Eric White Coldwell': 'Robert W. Baird & Co. Incorporated, Research Division'}"
20945,0,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",IRadimed Corporation NasdaqCM:IRMD,IRadimed Corporation,NasdaqCM:IRMD,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 10:00,"Thursday, April 30, 2020 3:00 PM GMT","{'EXECUTIVES': ['Christopher K. Scott', 'Leslie L. McDonnell'], 'ANALYSTS': ['Lisa Springer', 'Scott Robert Henry']}","{'Christopher K. Scott': 'CFO & Secretary', 'Leslie L. McDonnell': 'President, CEO & Director', 'Lisa Springer': 'Singular Research, LLC', 'Scott Robert Henry': 'Roth Capital Partners, LLC, Research Division'}"
33625,0,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",Amalgamated Bank NasdaqGM:AMAL,Amalgamated Bank,NasdaqGM:AMAL,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 9:00,"Thursday, April 30, 2020 2:00 PM GMT","{'EXECUTIVES': ['Andrew LaBenne', 'Drew Labenne', 'Keith R. Mestrich'], 'ANALYSTS': [""Christopher Thomas O'Connell"", 'Steven A. Alexopoulos']}","{'Andrew LaBenne': 'Senior Executive VP & CFO', 'Drew Labenne': '', 'Keith R. Mestrich': 'President, CEO & Director', ""Christopher Thomas O'Connell"": 'Keefe, Bruyette, & Woods, Inc., Research Division', 'Steven A. Alexopoulos': 'JP Morgan Chase & Co, Research Division'}"
22000,0,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Workiva Inc. NYSE:WK,Workiva Inc.,NYSE:WK,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 16:00,"Thursday, April 30, 2020 9:00 PM GMT","{'EXECUTIVES': ['Adam Terese', 'J. Stuart Miller', 'Martin J. Vanderploeg'], 'ANALYSTS': ['Alexander James Sklar', 'Matthew Steven Lemenager', 'Michael Pochucha', 'Sarah Marie Quander', 'Terrell Frederick Tillman', 'Thomas Michael Roderick']}","{'Adam Terese': 'Director of Corporate Development and Investor Relations', 'J. Stuart Miller': 'Executive VP & CFO', 'Martin J. Vanderploeg': 'President, CEO & Director', 'Alexander James Sklar': 'Raymond James & Associates, Inc., Research Division', 'Matthew Steven Lemenager': 'Robert W. Baird & Co. Incorporated, Research Division', 'Michael Pochucha': 'Northland Capital Markets, Research Division', 'Sarah Marie Quander': 'Morgan Stanley, Research Division', 'Terrell Frederick Tillman': 'SunTrust Robinson Humphrey, Inc., Research Division', 'Thomas Michael Roderick': 'Incorporated, Research Division'}"
105670,0,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020","Brookline Bancorp, Inc. NasdaqGS:BRKL","Brookline Bancorp, Inc.",NasdaqGS:BRKL,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 12:30,"Thursday, April 30, 2020 5:30 PM GMT","{'EXECUTIVES': ['Carl M. Carlson', 'M. Robert Rose', 'Marissa Martin', 'Paul A. Perrault'], 'ANALYSTS': ['Collyn Bement Gilbert', 'Laurie Katherine Havener Hunsicker', 'Mark Thomas Fitzgibbon']}","{'Carl M. Carlson': 'Chief Financial Officer', 'M. Robert Rose': 'Chief Credit Officer', 'Marissa Martin': 'Associate General Counsel', 'Paul A. Perrault': 'President, CEO & Director', 'Collyn Bement Gilbert': 'Keefe, Bruyette, & Woods, Inc., Research Division', 'Laurie Katherine Havener Hunsicker': 'Compass Point Research & Trading, LLC, Research Division', 'Mark Thomas Fitzgibbon': 'Piper Sandler & Co., Research Division'}"
14891,0,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020","MGP Ingredients, Inc. NasdaqGS:MGPI","MGP Ingredients, Inc.",NasdaqGS:MGPI,FQ1 2020 Earnings Call Transcripts,4/30/20,4/30/20 9:00,"Thursday, April 30, 2020 2:00 PM GMT","{'EXECUTIVES': ['Augustus C. Griffin', 'Brandon M. Gall', 'Dave Colo', 'Mike Houston'], 'ANALYSTS': ['Alex Joseph Fuhrman', 'Benjamin David Klieve', 'William Bates Chappell']}","{'Augustus C. Griffin': 'CEO & Director', 'Brandon M. Gall': 'VP of Finance & CFO', 'Dave Colo': '', 'Mike Houston': '', 'Alex Joseph Fuhrman': 'Craig-Hallum Capital Group LLC, Research Division', 'Benjamin David Klieve': 'National Securities Corporation, Research Division', 'William Bates Chappell': 'SunTrust Robinson Humphrey, Inc., Research Division'}"
